,FULL_NAME,YEAR_START,YEAR_END,POSITION,HEIGHT,WEIGHT,BIRTH_DATE,COLLEGE,PLAYER_ID
30,Matthew Aitch,1968,1968,F,6-7,230.0,"September 21, 1944",Michigan State University,80647.0
31,Henry Akin,1967,1969,C-F,6-10,225.0,"July 31, 1944",Morehead State University,76018.0
33,Solomon Alabi,2011,2012,C,7-1,251.0,"March 21, 1988",Florida State University,202374.0
34,Mark Alarie,1987,1991,F,6-8,217.0,"December 11, 1963",Duke University,76019.0
35,Gary Alcorn,1960,1961,C,6-9,225.0,"October 8, 1936","California State University, Fresno",76020.0
36,Cole Aldrich,2011,2018,C,6-11,250.0,"October 31, 1988",University of Kansas,202332.0
37,LaMarcus Aldridge,2007,2018,F-C,6-11,260.0,"July 19, 1985",University of Texas at Austin,200746.0
38,Chuck Aleksinas,1985,1985,C,6-11,260.0,"February 26, 1959",University of Connecticut,76021.0
40,Cory Alexander,1996,2005,G,6-1,185.0,"June 22, 1973",University of Virginia,724.0
41,Courtney Alexander,2001,2003,G,6-5,205.0,"April 27, 1977","California State University, Fresno",2042.0
43,Joe Alexander,2009,2010,F,6-8,230.0,"December 26, 1986",West Virginia University,201570.0
44,Victor Alexander,1992,2002,C-F,6-9,265.0,"August 31, 1969",Iowa State University,2349.0
45,Steve Alford,1988,1991,G,6-2,183.0,"November 23, 1964",Indiana University,76024.0
46,Bob Allen,1969,1969,F,6-9,205.0,"July 17, 1946",Marshall University,76028.0
47,Jarrett Allen,2018,2018,F-C,6-10,234.0,"April 21, 1998",University of Texas at Austin,1628386.0
48,Jerome Allen,1996,1997,G,6-4,184.0,"January 28, 1973",University of Pennsylvania,706.0
49,Kadeem Allen,2018,2018,G,6-3,192.0,"January 15, 1993",University of Arizona,1628443.0
50,Lavoy Allen,2012,2017,F-C,6-9,260.0,"February 4, 1989",Temple University,202730.0
51,Lucius Allen,1970,1979,G,6-2,175.0,"September 26, 1947","University of California, Los Angeles",76027.0
53,Randy Allen,1989,1990,F,6-8,220.0,"January 26, 1965",Florida State University,81804.0
54,Ray Allen,1997,2014,G,6-5,205.0,"July 20, 1975",University of Connecticut,951.0
55,Tony Allen,2005,2018,G-F,6-4,213.0,"January 11, 1982",Oklahoma State University,2754.0
56,Willie Allen,1972,1972,F,6-6,230.0,"February 8, 1949",University of Miami,81319.0
57,Odis Allison,1972,1972,F,6-6,195.0,"October 2, 1949","University of Nevada, Las Vegas",76029.0
59,Darrell Allums,1981,1981,F,6-9,220.0,"September 12, 1958","University of California, Los Angeles",76030.0
60,Morris Almond,2008,2012,G,6-6,225.0,"February 2, 1985",Rice University,201165.0
61,Derrick Alston,1995,1997,F,6-11,225.0,"August 20, 1972",Duquesne University,308.0
62,Rafer Alston,2000,2010,G,6-2,171.0,"July 24, 1976","California State University, Fresno",1747.0
66,Al-Farouq Aminu,2011,2018,F,6-9,220.0,"September 21, 1990",Wake Forest University,202329.0
68,Bob Anderegg,1960,1960,F-G,6-3,200.0,"August 24, 1937",Michigan State University,76034.0
71,Andrew Anderson,1968,1970,G,6-2,184.0,"July 6, 1945",Canisius College,80626.0
73,Cliff Anderson,1968,1971,G-F,6-2,200.0,"September 7, 1944",Saint Joseph's University,76035.0
74,Dan Anderson,1968,1969,C,6-10,230.0,"February 15, 1943",Augsburg College,80511.0
75,Dan Anderson,1975,1976,G,6-2,185.0,"January 1, 1951",University of Southern California,80511.0
76,Derek Anderson,1998,2008,G,6-5,194.0,"July 18, 1974",University of Kentucky,1507.0
77,Dwight Anderson,1983,1983,G,6-3,185.0,"December 28, 1960",University of Southern California,76037.0
78,Eric Anderson,1993,1994,F,6-9,220.0,"May 26, 1970",Indiana University,81935.0
79,Greg Anderson,1988,1998,F-C,6-10,230.0,"June 22, 1964",University of Houston,246.0
81,James Anderson,2011,2016,G-F,6-6,213.0,"March 25, 1989",Oklahoma State University,202341.0
82,Jerome Anderson,1976,1977,G,6-5,195.0,"October 9, 1953",West Virginia University,76040.0
83,Justin Anderson,2016,2018,G,6-6,228.0,"November 19, 1993",University of Virginia,1626147.0
84,Kenny Anderson,1992,2005,G,6-0,168.0,"October 9, 1970",Georgia Institute of Technology,72.0
85,Kim Anderson,1979,1979,F,6-7,200.0,"May 12, 1955",University of Missouri,76041.0
86,Kyle Anderson,2015,2018,F-G,6-9,230.0,"September 20, 1993","University of California, Los Angeles",203937.0
87,Michael Anderson,1989,1989,G,5-11,184.0,"March 23, 1966",Drexel University,76042.0
88,Nick Anderson,1990,2002,F-G,6-6,205.0,"January 20, 1968",University of Illinois at Urbana-Champaign,98.0
89,Richard Anderson,1983,1990,F-C,6-10,240.0,"November 19, 1960","University of California, Santa Barbara",76045.0
90,Ron Anderson,1985,1994,F-G,6-7,215.0,"October 15, 1958","California State University, Fresno",76046.0
91,Ryan Anderson,2009,2018,F,6-10,240.0,"May 6, 1988",University of California,201583.0
92,Shandon Anderson,1997,2006,F-G,6-6,208.0,"December 31, 1973",University of Georgia,1000.0
93,Willie Anderson,1989,1997,G-F,6-7,190.0,"January 8, 1967",University of Georgia,335.0
94,Wally Anderzunas,1970,1970,C-F,6-7,220.0,"January 11, 1946",Creighton University,76048.0
95,Don Anielak,1955,1955,F,6-7,190.0,"November 1, 1930",Missouri State University,76049.0
96,Ike Anigbogu,2018,2018,F-C,6-10,252.0,"October 22, 1998","University of California, Los Angeles",1628387.0
97,Michael Ansley,1990,1992,F,6-7,225.0,"February 8, 1967",University of Alabama,76050.0
98,Carmelo Anthony,2004,2018,F,6-8,240.0,"May 29, 1984",Syracuse University,2546.0
99,Greg Anthony,1992,2002,G,6-0,176.0,"November 15, 1967","University of Nevada, Las Vegas",21.0
101,OG Anunoby,2018,2018,F,6-8,232.0,"July 17, 1997",Indiana University,1628384.0
103,Rafael Araujo,2005,2007,C,6-11,280.0,"August 12, 1980",Brigham Young University,2737.0
105,Robert Archibald,2003,2004,F,6-11,250.0,"March 29, 1980",University of Illinois at Urbana-Champaign,2425.0
108,Jim Ard,1971,1978,F-C,6-8,215.0,"September 19, 1948",University of Cincinnati,76055.0
109,Gilbert Arenas,2002,2012,G,6-3,191.0,"January 6, 1982",University of Arizona,2240.0
110,Trevor Ariza,2005,2018,F,6-8,215.0,"June 30, 1985","University of California, Los Angeles",2772.0
111,Paul Arizin,1951,1962,F-G,6-4,190.0,"April 9, 1928",Villanova University,76056.0
112,Joe Arlauckas,1988,1988,F,6-9,230.0,"July 20, 1965",Niagara University,76057.0
113,B.J. Armstrong,1990,2000,G,6-2,175.0,"September 9, 1967",University of Iowa,769.0
114,Bob Armstrong,1957,1957,C-F,6-8,220.0,"June 17, 1933",Michigan State University,76061.0
115,Brandon Armstrong,2002,2004,G,6-5,188.0,"June 16, 1980",Pepperdine University,2220.0
118,Hilton Armstrong,2007,2014,F-C,6-11,235.0,"November 11, 1984",University of Connecticut,200756.0
119,Tate Armstrong,1978,1979,G,6-3,175.0,"October 5, 1955",Duke University,76059.0
120,Jesse Arnelle,1956,1956,F,6-5,220.0,"December 30, 1933",Pennsylvania State University,76062.0
121,Jay Arnette,1964,1966,G,6-2,175.0,"December 19, 1938",University of Texas at Austin,76063.0
122,Bob Arnzen,1970,1974,F,6-5,205.0,"November 3, 1947",University of Notre Dame,76064.0
124,Darrell Arthur,2009,2018,F,6-9,235.0,"March 25, 1988",University of Kansas,201589.0
125,John Arthurs,1970,1970,G,6-4,185.0,"August 15, 1947",Tulane University,76065.0
127,Vincent Askew,1988,1998,G-F,6-6,210.0,"February 28, 1966",University of Memphis,355.0
134,Stacey Augmon,1992,2006,F-G,6-8,205.0,"August 1, 1968","University of Nevada, Las Vegas",278.0
135,D.J. Augustin,2009,2018,G,6-0,183.0,"November 10, 1987",University of Texas at Austin,201571.0
136,James Augustine,2007,2008,F,6-10,235.0,"February 27, 1984",University of Illinois at Urbana-Champaign,200788.0
139,Ken Austin,1984,1984,F,6-9,205.0,"July 15, 1961",Rice University,76074.0
140,Anthony Avent,1993,2000,F,6-9,235.0,"October 18, 1969",Seton Hall University,138.0
142,William Avery,2000,2002,G,6-2,197.0,"August 8, 1979",Duke University,1895.0
143,Dennis Awtrey,1971,1982,C,6-10,235.0,"February 22, 1948",Santa Clara University,76078.0
144,Jeff Ayres,2010,2016,F,6-9,240.0,"April 29, 1987",Arizona State University,201965.0
147,Luke Babbitt,2011,2018,F,6-9,225.0,"June 20, 1989","University of Nevada, Reno",202337.0
148,Milos Babic,1991,1992,C-F,7-0,240.0,"November 23, 1968",Tennessee Technological University,76079.0
149,Johnny Bach,1949,1949,F-G,6-2,180.0,"July 10, 1924",Fordham University,76080.0
150,Dwayne Bacon,2018,2018,G,6-6,222.0,"August 30, 1995",Florida State University,1628407.0
151,Henry Bacon,1973,1973,G,6-3,205.0,"July 5, 1948",University of Louisville,81445.0
152,Jim Baechtold,1953,1957,F-G,6-4,205.0,"December 9, 1927",Eastern Kentucky University,76081.0
153,John Bagley,1983,1994,G,6-0,185.0,"April 23, 1960",Boston College,76082.0
154,Carl Bailey,1982,1982,C,7-0,210.0,"April 23, 1958",Tuskegee University,76084.0
155,Gus Bailey,1975,1980,G-F,6-5,185.0,"February 18, 1951",University of Texas at El Paso,76083.0
156,James Bailey,1980,1988,F-C,6-9,220.0,"May 21, 1957",Rutgers University,76085.0
157,Thurl Bailey,1984,1999,F-C,6-11,215.0,"April 7, 1961",North Carolina State University,1847.0
158,Toby Bailey,1999,2000,G,6-6,213.0,"November 19, 1975","University of California, Los Angeles",1753.0
159,Cameron Bairstow,2015,2016,F-C,6-9,250.0,"December 7, 1990",University of New Mexico,203946.0
160,Jimmie Baker,1976,1976,F,6-9,220.0,"December 25, 1953",University of Hawaii,81875.0
164,Vin Baker,1994,2006,F,6-11,232.0,"November 23, 1971",University of Hartford,452.0
166,Renaldo Balkman,2007,2012,F,6-8,208.0,"July 14, 1984",University of South Carolina,200764.0
168,Lonzo Ball,2018,2018,G,6-6,190.0,"October 27, 1997","University of California, Los Angeles",1628366.0
169,Greg Ballard,1978,1989,F,6-7,215.0,"January 29, 1955",University of Oregon,76091.0
171,Gene Banks,1982,1987,F-G,6-7,215.0,"May 15, 1959",Duke University,76093.0
172,Marcus Banks,2004,2011,G,6-2,200.0,"November 19, 1981","University of Nevada, Las Vegas",2556.0
173,Walker Banks,1971,1971,C,6-10,205.0,"August 26, 1947",Western Kentucky University,81078.0
174,Ken Bannister,1985,1991,F-C,6-9,235.0,"April 1, 1960",Saint Augustine's College,76094.0
175,Mike Bantom,1974,1982,F-C,6-9,200.0,"December 3, 1951",Saint Joseph's University,76095.0
176,John Barber,1957,1957,F,6-6,210.0,"June 27, 1927","California State University, Los Angeles",76096.0
179,Cliff Barker,1950,1952,G,6-2,185.0,"January 15, 1921",University of Kentucky,76098.0
180,Tom Barker,1977,1979,C-F,6-11,225.0,"March 11, 1955",University of Hawaii,76099.0
181,Charles Barkley,1985,2000,F,6-6,252.0,"February 20, 1963",Auburn University,787.0
182,Erick Barkley,2001,2002,G,6-1,177.0,"February 21, 1978",St. John's University,2057.0
184,Harrison Barnes,2013,2018,F,6-8,210.0,"May 30, 1992",University of North Carolina,203084.0
185,Harry Barnes,1969,1969,F,6-3,205.0,"July 25, 1945",Northeastern University,76103.0
186,Jim Barnes,1965,1971,C-F,6-8,210.0,"April 13, 1941",University of Texas at El Paso,76105.0
187,Marvin Barnes,1975,1980,F-C,6-8,210.0,"July 27, 1952",Providence College,76104.0
188,Matt Barnes,2004,2017,F,6-7,226.0,"March 9, 1980","University of California, Los Angeles",2440.0
189,Dick Barnett,1960,1974,G-F,6-4,190.0,"October 2, 1936",Tennessee State University,76107.0
190,Jim Barnett,1967,1977,G-F,6-4,170.0,"July 7, 1944",University of Oregon,76106.0
191,Nathaniel Barnett,1976,1976,G,6-3,175.0,"January 29, 1953",University of Akron,81900.0
192,John Barnhill,1963,1972,G,6-1,180.0,"March 20, 1938",Tennessee State University,76108.0
193,Norton Barnhill,1977,1977,G,6-4,205.0,"July 15, 1953",Washington State University,76109.0
194,Leo Barnhorst,1950,1954,F-G,6-4,190.0,"May 11, 1924",University of Notre Dame,76110.0
196,Mike Barr,1973,1977,G,6-3,180.0,"October 19, 1950",Duquesne University,76112.0
199,Ernie Barrett,1954,1956,G-F,6-3,180.0,"August 27, 1929",Kansas State University,76114.0
202,Dana Barros,1990,2004,G,5-11,163.0,"April 13, 1967",Boston College,344.0
203,Brent Barry,1996,2009,G,6-6,185.0,"December 31, 1971",Oregon State University,699.0
204,Drew Barry,1998,2000,G,6-5,191.0,"February 17, 1973",Georgia Institute of Technology,1003.0
205,Jon Barry,1993,2006,G,6-4,195.0,"July 25, 1969",Georgia Institute of Technology,468.0
206,Rick Barry,1966,1980,F,6-7,205.0,"March 28, 1944",University of Miami,600013.0
208,Vic Bartolome,1972,1972,C,7-0,230.0,"September 29, 1948",Oregon State University,76118.0
209,Will Barton,2013,2018,G,6-6,175.0,"January 6, 1991",University of Memphis,203115.0
212,Brandon Bass,2006,2017,F,6-8,250.0,"April 30, 1985",Louisiana State University,101138.0
213,Tim Bassett,1974,1980,F-C,6-8,225.0,"April 1, 1951",University of Georgia,76120.0
214,Maceo Baston,2003,2009,F,6-9,215.0,"May 29, 1975",University of Michigan,1766.0
217,Tony Battie,1998,2012,C-F,6-11,230.0,"February 11, 1976",Texas Tech University,1499.0
218,Shane Battier,2002,2014,F,6-8,220.0,"September 9, 1978",Duke University,2203.0
219,John Battle,1986,1995,G,6-2,175.0,"November 9, 1962",Rutgers University,174.0
220,Kenny Battle,1990,1993,F,6-6,210.0,"October 10, 1964",University of Illinois at Urbana-Champaign,76123.0
221,Dave Batton,1983,1984,C,6-10,240.0,"March 26, 1956",University of Notre Dame,76124.0
222,Lloyd Batts,1975,1975,G-F,6-4,185.0,"May 9, 1951",University of Cincinnati,81755.0
223,Johnny Baum,1970,1974,F,6-5,200.0,"June 17, 1946",Temple University,76125.0
225,Lonny Baxter,2003,2006,F,6-8,260.0,"January 27, 1979",University of Maryland,2437.0
226,Jerryd Bayless,2009,2018,G,6-3,200.0,"August 20, 1988",University of Arizona,201573.0
227,Elgin Baylor,1959,1972,F,6-5,225.0,"September 16, 1934",Seattle University,76127.0
228,Howard Bayne,1968,1968,F,6-6,235.0,"July 28, 1942",University of Tennessee,80603.0
231,Ed Beach,1951,1951,F,6-3,200.0,"January 25, 1929",West Virginia University,76129.0
232,Bradley Beal,2013,2018,G,6-5,207.0,"June 28, 1993",University of Florida,203078.0
234,Butch Beard,1970,1979,G,6-3,185.0,"May 4, 1947",University of Louisville,76130.0
235,Ralph Beard,1950,1951,G,5-10,175.0,"December 2, 1927",University of Kentucky,76131.0
236,Charles Beasley,1968,1971,G-F,6-5,190.0,"September 23, 1945",Southern Methodist University,80665.0
237,Jerome Beasley,2004,2004,F,6-10,237.0,"May 17, 1980",University of North Dakota,2602.0
238,John Beasley,1968,1974,F-C,6-9,225.0,"February 5, 1944",Texas A&M University,80604.0
239,Malik Beasley,2017,2018,G,6-5,196.0,"November 26, 1996",Florida State University,1627736.0
240,Michael Beasley,2009,2018,F,6-9,235.0,"January 9, 1989",Kansas State University,201563.0
241,Zelmo Beaty,1963,1975,C,6-9,225.0,"October 25, 1939",Prairie View A&M University,76133.0
242,Byron Beck,1968,1977,C-F,6-9,225.0,"January 25, 1945",University of Denver,76134.0
244,Ernie Beck,1954,1961,G-F,6-4,190.0,"December 11, 1931",University of Pennsylvania,76136.0
245,Arthur Becker,1968,1973,F,6-7,205.0,"January 12, 1942",Arizona State University,80446.0
247,Bob Bedell,1968,1971,F,6-7,205.0,"June 26, 1944",Stanford University,80587.0
248,William Bedford,1987,1993,C,7-0,225.0,"December 14, 1963",University of Memphis,76138.0
250,Ron Behagen,1974,1980,F-C,6-9,185.0,"January 14, 1951",University of Minnesota,76140.0
251,Elmer Behnke,1952,1952,C,6-7,210.0,"February 3, 1929",Bradley University,76141.0
253,Dennis Bell,1974,1976,F,6-5,185.0,"June 2, 1951",Drake University,76142.0
254,Jordan Bell,2018,2018,F,6-9,224.0,"January 7, 1995",University of Oregon,1628395.0
256,Troy Bell,2004,2004,G,6-1,180.0,"November 10, 1980",Boston College,2559.0
258,Walt Bellamy,1962,1975,C,6-11,225.0,"July 24, 1939",Indiana University,76144.0
259,DeAndre' Bembry,2017,2018,F,6-6,210.0,"July 4, 1994",Saint Joseph's University,1627761.0
260,Irv Bemoras,1954,1957,F-G,6-3,185.0,"November 18, 1930",University of Illinois at Urbana-Champaign,76145.0
261,Leon Benbow,1975,1976,G,6-4,185.0,"July 23, 1950",Jacksonville University,76146.0
263,Benoit Benjamin,1986,2000,C,7-0,250.0,"November 22, 1964",Creighton University,104.0
264,Corey Benjamin,1999,2003,G,6-6,200.0,"February 24, 1978",Oregon State University,1736.0
265,Anthony Bennett,2014,2017,F,6-8,245.0,"March 14, 1993","University of Nevada, Las Vegas",203461.0
266,Elmer Bennett,1995,1997,G,6-0,170.0,"February 13, 1970",University of Notre Dame,1120.0
267,Mario Bennett,1996,2000,F,6-6,235.0,"August 1, 1973",Arizona State University,712.0
270,Tony Bennett,1993,1995,G,6-0,175.0,"June 1, 1969",University of Wisconsin-Green Bay,76148.0
271,Winston Bennett,1990,1992,F,6-7,210.0,"February 9, 1965",University of Kentucky,76152.0
273,Keith Benson,2012,2012,C,6-11,240.0,"August 13, 1988",Oakland University,202728.0
274,Kent Benson,1978,1988,C,6-10,235.0,"December 27, 1954",Indiana University,76154.0
275,Ben Bentil,2017,2017,F,6-9,235.0,"March 29, 1995",Providence College,1627791.0
276,Gene Berce,1950,1950,G-F,5-11,175.0,"November 22, 1926",Marquette University,76155.0
277,Gary Bergen,1957,1957,C,6-8,210.0,"July 16, 1932",University of Utah,76156.0
278,Larry Bergh,1970,1970,F,6-8,210.0,"April 2, 1945",Weber State University,80997.0
279,Ricky Berry,1989,1989,F,6-8,205.0,"October 6, 1964",San Jose State University,76157.0
280,Walter Berry,1987,1989,F,6-8,215.0,"May 14, 1964",St. John's University,76158.0
282,Travis Best,1996,2005,G,5-11,182.0,"July 12, 1972",Georgia Institute of Technology,696.0
283,Patrick Beverley,2013,2018,G,6-1,185.0,"July 12, 1988",University of Arkansas,201976.0
285,Wesley Bialosuknia,1968,1968,G,6-2,185.0,"June 8, 1945",University of Connecticut,80691.0
286,Al Bianchi,1957,1966,G,6-3,185.0,"March 26, 1932",Bowling Green State University,76160.0
287,Hank Biasatti,1947,1947,G,5-11,175.0,"January 14, 1922",Long Island University,76161.0
288,Henry Bibby,1973,1981,G,6-1,185.0,"November 24, 1949","University of California, Los Angeles",76162.0
289,Mike Bibby,1999,2012,G,6-1,190.0,"May 13, 1978",University of Arizona,1710.0
290,Ed Biedenbach,1969,1969,G,6-1,175.0,"August 12, 1945",North Carolina State University,76163.0
291,Bob Bigelow,1976,1979,F-G,6-7,215.0,"December 26, 1953",University of Pennsylvania,76165.0
292,Lionel Billingy,1975,1975,F-C,6-9,215.0,"August 31, 1952",Duquesne University,81796.0
293,Chauncey Billups,1998,2014,G,6-3,202.0,"September 25, 1976",University of Colorado,1497.0
294,Dave Bing,1967,1978,G,6-3,180.0,"November 24, 1943",Syracuse University,76166.0
295,Joe Binion,1987,1987,F,6-8,235.0,"March 26, 1961",North Carolina Agricultural and Technical State University,76167.0
297,Jabari Bird,2018,2018,G,6-6,197.0,"July 3, 1994",University of California,1628444.0
298,Jerry Bird,1959,1959,F,6-6,210.0,"February 2, 1935",University of Kentucky,76168.0
299,Larry Bird,1980,1992,F,6-9,220.0,"December 7, 1956",Indiana State University,1449.0
300,Otis Birdsong,1978,1989,G,6-3,190.0,"December 9, 1955",University of Houston,76170.0
302,Uwe Blab,1986,1990,C,7-1,252.0,"March 26, 1962",Indiana University,76172.0
306,Tom Black,1971,1971,C,6-10,220.0,"July 9, 1941",South Dakota State University,76175.0
307,Rolando Blackman,1982,1994,G,6-6,190.0,"February 26, 1959",Kansas State University,76176.0
309,Cory Blackwell,1985,1985,F,6-6,210.0,"March 27, 1963",University of Wisconsin,76177.0
311,Nate Blackwell,1988,1988,G,6-4,170.0,"February 15, 1965",Temple University,76179.0
312,DeJuan Blair,2010,2016,F-C,6-7,270.0,"April 22, 1989",University of Pittsburgh,201971.0
313,Steve Blake,2004,2016,G,6-3,172.0,"February 26, 1980",University of Maryland,2581.0
315,Will Blalock,2007,2007,G,6-0,205.0,"September 8, 1983",Iowa State University,200807.0
316,George Blaney,1962,1962,G,6-1,175.0,"November 12, 1939",College of the Holy Cross,76182.0
317,Lance Blanks,1991,1993,G,6-4,190.0,"September 9, 1966",University of Texas at Austin,76183.0
318,Ricky Blanton,1993,1993,F,6-7,215.0,"April 21, 1966",Louisiana State University,76184.0
319,Mookie Blaylock,1990,2002,G,6-0,180.0,"March 20, 1967",University of Oklahoma,302.0
320,Eric Bledsoe,2011,2018,G,6-1,205.0,"December 9, 1989",University of Kentucky,202339.0
321,Leon Blevins,1951,1951,G,6-2,160.0,"June 25, 1926",University of Arizona,76186.0
322,John Block,1967,1976,F-C,6-9,207.0,"April 16, 1944",University of Southern California,76187.0
324,Corie Blount,1994,2004,F,6-9,240.0,"January 4, 1969",University of Cincinnati,916.0
325,Mark Blount,2001,2009,C,7-0,230.0,"November 30, 1975",University of Pittsburgh,1548.0
327,Ray Blume,1982,1982,G,6-4,185.0,"September 23, 1958",Oregon State University,76189.0
328,Nelson Bobb,1950,1953,G,6-0,170.0,"February 25, 1924",Temple University,76190.0
331,Tom Boerwinkle,1969,1978,C,7-0,265.0,"August 23, 1945",University of Tennessee,76192.0
332,Keith Bogans,2004,2014,G-F,6-5,215.0,"May 12, 1980",University of Kentucky,2586.0
333,Muggsy Bogues,1988,2001,G,5-3,136.0,"January 9, 1965",Wake Forest University,177.0
334,Andrew Bogut,2006,2018,C,7-0,260.0,"November 28, 1984",University of Utah,101106.0
336,Manute Bol,1986,1995,C,7-7,200.0,"October 16, 1962",University of Bridgeport,76195.0
337,Bill Bolger,1954,1954,F,6-5,205.0,"August 21, 1931",Georgetown University,76196.0
338,Joel Bolomboy,2017,2018,F,6-9,235.0,"January 28, 1994",Weber State University,1627762.0
339,Doug Bolstorff,1958,1958,G,6-4,195.0,"October 29, 1931",University of Minnesota,76197.0
341,Phil Bond,1978,1978,G,6-2,175.0,"July 27, 1954",University of Louisville,76198.0
344,Ron Bonham,1965,1968,F,6-5,192.0,"May 31, 1942",University of Cincinnati,76201.0
345,Anthony Bonner,1991,1996,F,6-8,215.0,"June 8, 1968",Saint Louis University,41.0
346,Matt Bonner,2005,2016,F,6-10,235.0,"April 5, 1980",University of Florida,2588.0
348,Devin Booker,2016,2018,G,6-6,206.0,"October 30, 1996",University of Kentucky,1626164.0
350,Trevor Booker,2011,2018,F,6-8,228.0,"November 25, 1987",Clemson University,202344.0
351,Josh Boone,2007,2010,F-C,6-10,237.0,"November 21, 1984",University of Connecticut,200767.0
352,Ron Boone,1969,1981,G-F,6-2,200.0,"September 6, 1946",Idaho State University,76204.0
353,Calvin Booth,2000,2009,C,6-11,230.0,"May 7, 1976",Pennsylvania State University,1916.0
354,Keith Booth,1998,1999,F,6-6,226.0,"October 9, 1974",University of Maryland,1522.0
355,Bob Boozer,1961,1971,F,6-8,215.0,"April 26, 1937",Kansas State University,76206.0
356,Carlos Boozer,2003,2015,F-C,6-9,258.0,"November 20, 1981",Duke University,2430.0
357,Curtis Borchardt,2004,2005,C,7-0,240.0,"September 13, 1980",Stanford University,2414.0
361,Chris Bosh,2004,2016,F-C,6-11,235.0,"March 24, 1984",Georgia Institute of Technology,2547.0
362,Jim Bostic,1978,1978,F,6-7,225.0,"January 28, 1953",New Mexico State University,76211.0
363,Lawrence Boston,1980,1980,F,6-8,225.0,"May 18, 1956",University of Maryland,76212.0
364,Tom Boswell,1976,1984,F-C,6-9,220.0,"October 2, 1953",University of South Carolina,76213.0
365,Ruben Boumtje-Boumtje,2002,2004,C,7-0,257.0,"May 20, 1978",Georgetown University,2257.0
366,Don Boven,1950,1953,F-G,6-4,210.0,"March 6, 1925",Western Michigan University,76214.0
367,Cal Bowdler,2000,2002,F,6-10,245.0,"March 31, 1977",Old Dominion University,1898.0
369,Ryan Bowen,2000,2010,F,6-7,215.0,"November 20, 1975",University of Iowa,1763.0
371,Anthony Bowie,1989,1998,G-F,6-6,190.0,"November 9, 1963",University of Oklahoma,194.0
372,Sam Bowie,1985,1995,C-F,7-1,235.0,"March 17, 1961",University of Kentucky,76217.0
373,Orbie Bowling,1968,1968,C,6-10,215.0,"March 21, 1939",University of Tennessee,80340.0
375,Nate Bowman,1967,1972,C,6-10,230.0,"March 19, 1943",Wichita State University,76219.0
376,Donnie Boyce,1996,1997,G,6-5,196.0,"September 2, 1973",University of Colorado,671.0
377,Dennis Boyd,1979,1979,G,6-1,175.0,"May 21, 1954",University of Detroit Mercy,76221.0
379,Ken Boyd,1975,1975,F,6-5,195.0,"March 25, 1952",Boston University,76223.0
382,Winford Boynes,1979,1981,G-F,6-6,185.0,"May 17, 1957",University of San Francisco,76225.0
384,Steve Bracey,1973,1975,G,6-1,175.0,"August 1, 1950",University of Tulsa,76226.0
